,feature,weight,abs_weight
10,irradiance,-1.0150540443240565,1.0150540443240565
9,imbalance_price_lag1,-0.1821320193705552,0.1821320193705552
11,cloud_cover,0.12168833314839013,0.12168833314839013
0,hour,0.10933035475532155,0.10933035475532155
4,forecast_deviation,-0.10649142298999609,0.10649142298999609
13,liquidity_ratio,0.09280836190298335,0.09280836190298335
15,generation_volatility,-0.0834831759794127,0.0834831759794127
14,price_volatility,-0.07353315431681577,0.07353315431681577
6,da_price,-0.06780745118424124,0.06780745118424124
8,price_trend,0.06772774080560853,0.06772774080560853
2,month,0.061523297813476166,0.061523297813476166
12,temperature,-0.05597614623370362,0.05597614623370362
7,id_spread,0.047293854260444856,0.047293854260444856
1,day_of_week,0.010314605049195496,0.010314605049195496
5,forecast_error_ma,-0.009997975026434208,0.009997975026434208
3,is_weekend,3.858541355029714e-05,3.858541355029714e-05
